source,job_title,company,location,url,collected_at,city_normalized,title_normalized
LinkedIn (Playwright),Deep Learning Algorithm Developer - Road Team,Mobileye,"Jerusalem, Israel",https://www.linkedin.com/jobs/view/4273750096/,2025-08-11,Jerusalem,Machine Learning Engineer
LinkedIn (Playwright),Data Scientist,HCL AppScan,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4254997937/,2025-08-11,Tel Aviv-Yafo,Data Scientist
LinkedIn (Playwright),Artificial Intelligence Consultant,Geffen Global,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4280664569/,2025-08-11,Tel Aviv-Yafo,AI Engineer
LinkedIn (Playwright),Data Scientist,Cato Networks,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4257185188/,2025-08-11,Tel Aviv-Yafo,Data Scientist
LinkedIn (Playwright),Machine Learning Engineer,Millennium,"Tel Aviv, Israel",https://www.linkedin.com/jobs/view/4254635063/,2025-08-11,Tel Aviv-Yafo,Machine Learning Engineer
Greenhouse,AI Backend Engineer,similarweb,Tel Aviv-Yafo,https://job-boards.greenhouse.io/similarweb/jobs/7139830,2025-08-11,Tel Aviv-Yafo,AI Engineer
Greenhouse,AI Engineer,similarweb,Tel Aviv-Yafo,https://job-boards.greenhouse.io/similarweb/jobs/7135356,2025-08-11,Tel Aviv-Yafo,AI Engineer
Greenhouse,Data Scientist,similarweb,"Tel Aviv-Yafo, Israel",https://job-boards.greenhouse.io/similarweb/jobs/6829705,2025-08-11,Tel Aviv-Yafo,Data Scientist
Greenhouse,Data Scientist Team Manager,similarweb,Tel Aviv,https://job-boards.greenhouse.io/similarweb/jobs/6990853,2025-08-11,Tel Aviv-Yafo,Data Scientist
Greenhouse,Senior Data Scientist - Apps,similarweb,"Tel Aviv-Yafo, Israel",https://job-boards.greenhouse.io/similarweb/jobs/6868231,2025-08-11,Tel Aviv-Yafo,Data Scientist
Greenhouse,Paid Social Campaign Manager,taboola,"Tel Aviv, Israel",https://www.taboola.com/careers/job/7069566?gh_jid=7069566,2025-08-11,Tel Aviv-Yafo,Paid Social Campaign Manager
Greenhouse,Senior Data Scientist,taboola,"Tel Aviv, Israel",https://www.taboola.com/careers/job/6717217?gh_jid=6717217,2025-08-11,Tel Aviv-Yafo,Data Scientist
Greenhouse,Senior GenAI Machine Learning Engineer/Scientist,taboola,"Tel Aviv, Israel",https://www.taboola.com/careers/job/6990916?gh_jid=6990916,2025-08-11,Tel Aviv-Yafo,Machine Learning Engineer
Greenhouse,Senior Machine Learning Engineer,taboola,"Tel Aviv, Israel",https://www.taboola.com/careers/job/6717221?gh_jid=6717221,2025-08-11,Tel Aviv-Yafo,Machine Learning Engineer
Greenhouse,Creative AI Specialist,lightricks,Jerusalem,https://careers.lightricks.com/position?gh_jid=8019189002&gh_jid=8019189002,2025-08-11,Jerusalem,AI Engineer
Greenhouse,Maintenance Manager,lightricks,Jerusalem,https://careers.lightricks.com/position?gh_jid=7826535002&gh_jid=7826535002,2025-08-11,Jerusalem,Maintenance Manager
Greenhouse,Product AI Lab Team Lead,lightricks,Jerusalem,https://careers.lightricks.com/position?gh_jid=8050035002&gh_jid=8050035002,2025-08-11,Jerusalem,Product AI Lab Team Lead
Greenhouse,"Senior Developer Advocate, GenAI",lightricks,Jerusalem,https://careers.lightricks.com/position?gh_jid=8030072002&gh_jid=8030072002,2025-08-11,Jerusalem,"Senior Developer Advocate, GenAI"
Greenhouse,User Acquisition Team Lead - Paid Social,lightricks,Jerusalem,https://careers.lightricks.com/position?gh_jid=7982830002&gh_jid=7982830002,2025-08-11,Jerusalem,User Acquisition Team Lead - Paid Social
